,Issuer Name,Insured Bonds,State Code,Mod Dur (Mid),Iss Spd Wst,Issue Date,Cpn,Maturity,Mty Size,Yield at Issue,YTW Sprd to Mty at Iss,MSRB Volume,BBG Composite,LQA Score,County,USPS,NAME,INTPTLAT,INTPTLONG                                                                                                               
1038,Harris County Municipal Utility District No 416,N,TX,1.05052878,96.89521644,12/1/2017,2.6,9/1/2023,130000,2.6,96.89521644,,,72,Harris,TX,Harris,29.857273,-95.393037
1039,Board of Water Light & Sinking Fund Commissioners of The City of Dalton/The,N,GA,0.56497526,29.61090685,11/21/2017,5,3/1/2023,2450000,1.78,29.61090685,260000,A-,90,Whitfield,GA,Whitfield,34.801726,-84.968541
1040,Board of Water Light & Sinking Fund Commissioners of The City of Dalton/The,N,GA,2.38832676,32.42975342,11/21/2017,5,3/1/2025,2710000,2.04,32.42975342,,A-,66,Whitfield,GA,Whitfield,34.801726,-84.968541
1041,Board of Water Light & Sinking Fund Commissioners of The City of Dalton/The,N,GA,4.058435801,38.89310411,11/21/2017,5,3/1/2027,2995000,2.31,38.89310411,540000,A-,48,Whitfield,GA,Whitfield,34.801726,-84.968541
1042,Hays County Water Control & Improvement District No 1,Y,TX,1.055426115,54.25244384,11/1/2017,2,9/1/2023,75000,2,54.25244384,,,11,Travis,TX,Travis,30.239513,-97.69127
1043,Hays County Water Control & Improvement District No 1,Y,TX,2.00936344,51.39846575,11/1/2017,2,9/1/2024,80000,2.1,51.39846575,,,55,Travis,TX,Travis,30.239513,-97.69127
1044,Hays County Water Control & Improvement District No 2,Y,TX,1.055430382,59.91265753,11/1/2017,2,9/1/2023,365000,2.15,59.91265753,,AA-,80,Hays,TX,Hays,30.061225,-98.029267
1045,Hays County Water Control & Improvement District No 2,Y,TX,2.00648946,57.43216438,11/1/2017,2.125,9/1/2024,385000,2.25,57.43216438,,AA-,67,Hays,TX,Hays,30.061225,-98.029267
1046,City of Danville KY,N,KY,2.800035227,18.80077937,9/28/2017,5,8/1/2025,415000,1.75,18.80077937,,,78,Boyle,KY,Boyle,37.618104,-84.868352
1047,City of Danville KY,N,KY,4.470082394,24.06869862,9/28/2017,5,8/1/2027,460000,2.05,24.06869862,,,59,Boyle,KY,Boyle,37.618104,-84.868352
1048,Town of Hempstead NY,Y,NY,1.59325189,27.0042826,4/13/2017,4,4/1/2024,6070000,2.1,27.0042826,160000,,88,Nassau,NY,Nassau,40.729612,-73.589414
1049,Board of Water Light & Sinking Fund Commissioners of The City of Dalton/The,N,GA,3.241145921,35.19846575,11/21/2017,5,3/1/2026,2850000,2.18,35.19846575,190000,A-,56,Whitfield,GA,Whitfield,34.801726,-84.968541
1050,Hays County Water Control & Improvement District No 1,Y,TX,0.080467414,51.65055068,11/1/2017,2,9/1/2022,70000,1.85,51.65055068,,,98,Travis,TX,Travis,30.239513,-97.69127
1051,Hays County Water Control & Improvement District No 2,Y,TX,0.080467494,57.04583562,11/1/2017,2,9/1/2022,350000,2,57.04583562,,AA-,99,Hays,TX,Hays,30.061225,-98.029267
1052,Collin County Water Control & Improvement District No 3,N,TX,1.085874828,115.0804496,9/15/2017,3,9/15/2023,155000,2.4,115.0804496,,,86,Collin,TX,Collin,33.194494,-96.579428
1053,Collin County Water Control & Improvement District No 3,N,TX,2.932726943,125.2509261,9/15/2017,3,9/15/2025,155000,2.8,125.2509261,,,60,Collin,TX,Collin,33.194494,-96.579428
1054,Town of East Bloomfield NY,N,NY,1.332994736,68.47650685,12/28/2017,3.5,12/15/2023,10000,2.35,68.47650685,,,89,Ontario,NY,Ontario,42.856357,-77.303497
1055,East Montgomery County Municipal Utility District No 6,N,TX,0.08044802,90.47255141,6/1/2017,2.3,9/1/2022,60000,2.3,90.47255141,,,91,#N/A Field Not Applicable,TX,Montgomery County,30.298801,-95.50295
1056,East Montgomery County Municipal Utility District No 6,N,TX,1.990070572,97.81321883,6/1/2017,2.7,9/1/2024,65000,2.7,97.81321883,,,53,#N/A Field Not Applicable,TX,Montgomery County,30.298801,-95.50295
1057,City of Danville KY,N,KY,0.977068128,13.96660069,9/28/2017,5,8/1/2023,375000,1.4,13.96660069,,,91,Boyle,KY,Boyle,37.618104,-84.868352
1058,City of Danville KY,N,KY,1.90921327,18.92012332,9/28/2017,5,8/1/2024,395000,1.6,18.92012332,,,86,Boyle,KY,Boyle,37.618104,-84.868352
1059,City of Danville KY,N,KY,3.652722433,20.09392444,9/28/2017,5,8/1/2026,430000,1.9,20.09392444,,,67,Boyle,KY,Boyle,37.618104,-84.868352
1060,City of DeSoto TX,N,TX,1.494667263,31.67271911,6/1/2017,2,2/15/2024,205000,1.72,31.67271911,,,61,Dallas,TX,Dallas,32.766987,-96.778424
1061,City of DeSoto TX,N,TX,3.308221644,38.37317264,6/1/2017,3,2/15/2026,215000,2.09,38.37317264,,,62,Dallas,TX,Dallas,32.766987,-96.778424
1062,City of Corning NY,Y,NY,1.421060819,15.13415547,1/24/2017,2.625,1/15/2024,105000,2.1,15.13415547,,AA-,82,Steuben,NY,Steuben,42.266725,-77.385525
1063,City of Corning NY,Y,NY,2.36368637,12.53754848,1/24/2017,2.75,1/15/2025,105000,2.2,12.53754848,,AA-,73,Steuben,NY,Steuben,42.266725,-77.385525
1064,Cottonwood Creek Municipal Utility District No 1,Y,TX,0.080457608,56.60845205,11/14/2017,4,9/1/2022,145000,1.9,56.60845205,,AA-,98,Travis,TX,Travis,30.239513,-97.69127
1065,Cottonwood Creek Municipal Utility District No 1,Y,TX,1.985208338,61.41335342,11/14/2017,3,9/1/2024,160000,2.2,61.41335342,,AA-,72,Travis,TX,Travis,30.239513,-97.69127
1066,City of Lorena TX,N,TX,0.525239229,33.37409589,12/1/2017,3,2/15/2023,35000,2,33.37409589,,,87,McLennan,TX,McLennan,31.549596,-97.201511
1067,City of Lorena TX,N,TX,1.47871274,37.31669041,12/1/2017,3,2/15/2024,40000,2.1,37.31669041,,,74,McLennan,TX,McLennan,31.549596,-97.201511
1068,City of Lorena TX,N,TX,2.404291724,39.69802192,12/1/2017,3,2/15/2025,40000,2.2,39.69802192,,,64,McLennan,TX,McLennan,31.549596,-97.201511
1069,City of Lorena TX,N,TX,3.303469728,40.98728493,12/1/2017,3,2/15/2026,40000,2.3,40.98728493,,,53,McLennan,TX,McLennan,31.549596,-97.201511
1070,City of Lorena TX,N,TX,4.176816757,48.78126575,12/1/2017,3,2/15/2027,40000,2.45,48.78126575,,,45,McLennan,TX,McLennan,31.549596,-97.201511
1071,County of Hudson NJ,N,NJ,3.572139883,9.470131511,7/7/2017,5,7/1/2026,210000,1.87,9.470131511,60000,,67,Hudson,NJ,Hudson,40.731375,-74.078601
1072,Town of Hudson MA,N,MA,0.818152665,7.000028202,6/15/2017,3,6/1/2023,260000,1.4,7.000028202,,,91,Middlesex,MA,Middlesex,42.481718,-71.394916
1073,City of Dover NH,N,NH,1.341257384,-3.043232877,11/30/2017,2.5,12/15/2023,530000,1.53,-3.043232877,,,81,Strafford,NH,Strafford,43.293272,-71.035589
1074,City of Dover NH,N,NH,2.237214292,-4.211506849,11/30/2017,5,12/15/2024,525000,1.63,-4.211506849,,,84,Strafford,NH,Strafford,43.293272,-71.035589
1075,City of Dover NH,N,NH,3.111156637,-2.229931507,11/30/2017,5,12/15/2025,525000,1.76,-2.229931507,,,77,Strafford,NH,Strafford,43.293272,-71.035589
1076,City of Dover NH,N,NH,3.949040138,0.506630137,11/30/2017,5,12/15/2026,525000,1.05,0.506630137,,,71,Strafford,NH,Strafford,43.293272,-71.035589
1077,City of Dover NH,N,NH,4.753428934,5.165136986,11/30/2017,5,12/15/2027,525000,2,5.165136986,,,66,Strafford,NH,Strafford,43.293272,-71.035589
1078,Dowdell Public Utility District/TX,Y,TX,1.039896696,45.78485205,12/1/2017,4.5,9/1/2023,500000,2.07,45.78485205,,A+,90,Harris,TX,Harris,29.857273,-95.393037
1079,Greater Texoma Utility Authority,Y,TX,1.140917558,29.88365209,6/29/2017,2,10/1/2023,280000,1.7,29.88365209,,,81,Grayson,TX,Grayson,33.624524,-96.675693
1080,Greater Texoma Utility Authority,Y,TX,2.946510145,31.6559804,6/29/2017,4,10/1/2025,300000,2.03,31.6559804,50000,,72,Grayson,TX,Grayson,33.624524,-96.675693
1081,City of Dunlap TN,N,TN,0.571793743,22.20700512,10/5/2017,2,3/1/2023,75000,1.45,22.20700512,,AA-,72,Davidson,TN,Davidson,36.169129,-86.78479
1082,Magna Water District,N,UT,0.815764132,7.978716983,9/20/2017,4,6/1/2023,585000,1.29,7.978716983,,,89,Salt Lake,UT,Salt Lake,40.667883,-111.92424
1083,Magna Water District,N,UT,1.759966987,7.932422806,9/20/2017,4,6/1/2024,610000,1.44,7.932422806,,,81,Salt Lake,UT,Salt Lake,40.667883,-111.92424
1084,Magna Water District,N,UT,2.669812334,8.738776475,9/20/2017,4,6/1/2025,635000,1.6,8.738776475,,,72,Salt Lake,UT,Salt Lake,40.667883,-111.92424
1085,Magna Water District,N,UT,3.547222438,7.715375049,9/20/2017,4,6/1/2026,660000,1.73,7.715375049,,,63,Salt Lake,UT,Salt Lake,40.667883,-111.92424
1086,Magna Water District,N,UT,4.394032672,13.14045335,9/20/2017,4,6/1/2027,690000,1.9,13.14045335,,,54,Salt Lake,UT,Salt Lake,40.667883,-111.92424
1087,Harris County Water Control & Improvement District No 116,Y,TX,1.526636597,46.23650729,4/1/2017,2.5,3/1/2024,245000,2.5,46.23650729,,,80,Harris,TX,Harris,29.857273,-95.393037
1088,Harris County Water Control & Improvement District No 119,Y,TX,1.125168202,35.8884815,9/1/2017,4,10/1/2023,100000,1.65,35.8884815,,,92,Harris,TX,Harris,29.857273,-95.393037
1089,Harris County Water Control & Improvement District No 136,Y,TX,0.080467407,46.91495929,2/1/2017,3,9/1/2022,100000,2.25,46.91495929,,,82,Harris,TX,Harris,29.857273,-95.393037
1090,Harris County Municipal Utility District No 481,N,TX,0.080459447,96.66712507,8/1/2017,2.25,9/1/2022,150000,2.35,96.66712507,,,99,Harris,TX,Harris,29.857273,-95.393037
1091,Harris County Water Control & Improvement District No 161,N,TX,0.080459471,103.8768225,9/1/2017,3,9/1/2022,260000,2.2,103.8768225,,,98,Harris,TX,Harris,29.857273,-95.393037
1092,Harris County Water Control & Improvement District No 161,N,TX,1.047748287,109.1113252,9/1/2017,3,9/1/2023,260000,2.4,109.1113252,,,81,Harris,TX,Harris,29.857273,-95.393037
1093,Harris County Water Control & Improvement District No 161,N,TX,1.985277409,114.0142373,9/1/2017,3,9/1/2024,260000,2.6,114.0142373,,,68,Harris,TX,Harris,29.857273,-95.393037
1094,Harris County Municipal Utility District No 504,Y,TX,1.98737955,91.04561135,5/1/2017,3,9/1/2024,110000,2.8,91.04561135,,,79,Harris,TX,Harris,29.857273,-95.393037
1095,Harris County Municipal Utility District No 495,Y,TX,1.035374015,66.64261324,5/1/2017,5,9/1/2023,135000,2.4,66.64261324,,,89,#N/A Field Not Applicable,TX,Harris County,29.857273,-95.393037
1096,Harris County Municipal Utility District No 529,N,TX,0.080455795,87.79403961,4/1/2017,2.5,9/1/2022,170000,2.5,87.79403961,,,99,#N/A Field Not Applicable,TX,Harris County,29.857273,-95.393037
1097,Harris County Municipal Utility District No 530,N,TX,1.04644756,79.5489825,3/15/2017,3,9/1/2023,230000,2.75,79.5489825,15000,,84,Harris,TX,Harris,29.857273,-95.393037
1098,Harris County Municipal Utility District No 537,N,TX,0.651400741,119.3228493,12/1/2017,2.75,4/1/2023,75000,2.75,119.3228493,,,89,Harris,TX,Harris,29.857273,-95.393037
1099,Harris County Municipal Utility District No 499,N,TX,0.080459471,77.58175168,3/1/2017,3,9/1/2022,100000,2.5,77.58175168,,,98,#N/A Field Not Applicable,TX,Harris County,29.857273,-95.393037
1100,County of Erie OH,N,OH,0.163654577,10.57230685,10/11/2017,5,10/1/2022,705000,1.38,10.57230685,,,96,Erie,OH,Erie,41.394143,-82.586835
1101,County of Erie OH,N,OH,2.033073204,12.9232411,10/11/2017,5,10/1/2024,725000,1.68,12.9232411,,,80,Erie,OH,Erie,41.394143,-82.586835
1102,City of Corning NY,Y,NY,0.450382889,17.68622225,1/24/2017,2.5,1/15/2023,105000,2,17.68622225,,AA-,94,Steuben,NY,Steuben,42.266725,-77.385525
1103,East Wenatchee Water District/WA,N,WA,0.005554643,22.50812254,5/16/2017,3,8/1/2022,270000,1.66,22.50812254,,,97,Douglas,WA,Douglas,47.741763,-119.694622
1104,East Wenatchee Water District/WA,N,WA,3.705194297,23.5729735,5/16/2017,4,8/1/2026,365000,2.29,23.5729735,,,41,Douglas,WA,Douglas,47.741763,-119.694622
1105,Eastern Municipal Water District,N,CA,1.049616559,64.30233151,11/16/2017,3,9/1/2023,55000,2.18,64.30233151,,,80,Riverside,CA,Riverside,33.729828,-116.002239
1106,Eastern Municipal Water District,N,CA,1.049616559,69.30233151,11/16/2017,3,9/1/2023,75000,2.23,69.30233151,,,81,Riverside,CA,Riverside,33.729828,-116.002239
1107,City of Hagerstown MD,N,MD,1.756405949,6.916539563,6/1/2017,4,6/1/2024,245000,1.75,6.916539563,,AA-,81,Washington,MD,Washington,39.603621,-77.814671
1108,City of Hagerstown MD,N,MD,3.594613893,11.2046884,6/1/2017,3,6/1/2026,270000,2.1,11.2046884,,AA-,63,Washington,MD,Washington,39.603621,-77.814671
1109,City of Hagerstown MD,N,MD,1.759013568,44.73653738,6/1/2017,3,6/1/2024,70000,2.6,44.73653738,,AA-,76,Washington,MD,Washington,39.603621,-77.814671
1110,City of Haltom City TX,N,TX,1.461560271,25.13575616,12/1/2017,3,2/1/2024,450000,1.95,25.13575616,,,76,Tarrant,TX,Tarrant,32.772119,-97.291224
1111,City of Haltom City TX,N,TX,4.12864687,28.6671726,12/1/2017,4,2/1/2027,505000,2.2,28.6671726,,,58,Tarrant,TX,Tarrant,32.772119,-97.291224
1112,City of Conroe TX,N,TX,3.067801158,29.92196068,9/1/2017,4,11/15/2025,920000,1.92,29.92196068,,AA+,64,Montgomery,TX,Montgomery,30.298801,-95.50295
1113,City of Denison TX,N,TX,0.525239229,30.44421317,5/17/2017,3,2/15/2023,300000,1.8,30.44421317,,AA-,89,Grayson,TX,Grayson,33.624524,-96.675693
1114,City of Denison TX,N,TX,1.47871274,23.91507772,5/17/2017,3,2/15/2024,305000,1.9,23.91507772,,AA-,78,Grayson,TX,Grayson,33.624524,-96.675693
1115,City of Denison TX,N,TX,2.404291724,17.55209969,5/17/2017,3,2/15/2025,315000,2,17.55209969,,AA-,69,Grayson,TX,Grayson,33.624524,-96.675693
1116,City of Denison TX,N,TX,3.303469728,12.73599824,5/17/2017,3,2/15/2026,325000,2.1,12.73599824,,AA-,60,Grayson,TX,Grayson,33.624524,-96.675693
1117,Denton County Fresh Water Supply District No 6,Y,TX,0.529180104,45.13098664,6/15/2017,2,2/15/2023,165000,1.75,45.13098664,,A+,81,Denton,TX,Denton,33.205132,-97.12114
1118,Denton County Fresh Water Supply District No 8-A,Y,TX,0.080461399,60.8278137,12/1/2017,4,9/1/2022,95000,2.1,60.8278137,,AA-,97,Denton,TX,Denton,33.205132,-97.12114
1119,Denton County Fresh Water Supply District No 8-A,Y,TX,1.041105089,61.76219178,12/1/2017,4,9/1/2023,100000,2.22,61.76219178,,AA-,89,Denton,TX,Denton,33.205132,-97.12114
1120,Denton County Fresh Water Supply District No 8-A,Y,TX,1.985732564,59.34694795,12/1/2017,3,9/1/2024,105000,2.3,59.34694795,,AA-,73,Denton,TX,Denton,33.205132,-97.12114
1121,Denton County Fresh Water Supply District No 8-A,Y,TX,2.930318256,73.21908493,12/1/2017,2.25,9/1/2025,105000,2.55,73.21908493,,AA-,52,Denton,TX,Denton,33.205132,-97.12114
1122,Denton County Fresh Water Supply District No 11-A,Y,TX,0.080465899,76.27834052,1/1/2017,3,9/1/2022,135000,2.65,76.27834052,,,98,Denton,TX,Denton,33.205132,-97.12114
1123,Denton County Fresh Water Supply District No 11-A,Y,TX,1.048291465,77.51446685,1/1/2017,3,9/1/2023,140000,2.8,77.51446685,,,83,Denton,TX,Denton,33.205132,-97.12114
1124,Denton County Fresh Water Supply District No 11-A,Y,TX,2.897464926,81.19685907,1/1/2017,3,9/1/2025,155000,3.1,81.19685907,,,58,Denton,TX,Denton,33.205132,-97.12114
1125,Village of Elk Rapids MI,Y,MI,0.246569783,34.22493687,7/11/2017,3,11/1/2022,145000,1.6,34.22493687,,AA,99,Antrim,MI,Antrim,45.005455,-85.175639
1126,Village of Elk Rapids MI,Y,MI,1.215059919,35.02376271,7/11/2017,3,11/1/2023,150000,1.75,35.02376271,,AA,88,Antrim,MI,Antrim,45.005455,-85.175639
1127,Village of Elk Rapids MI,Y,MI,2.154899647,35.49943573,7/11/2017,3,11/1/2024,155000,1.9,35.49943573,,AA,78,Antrim,MI,Antrim,45.005455,-85.175639
1128,Village of Elk Rapids MI,Y,MI,3.067784808,36.28940422,7/11/2017,3,11/1/2025,155000,2.05,36.28940422,,AA,69,Antrim,MI,Antrim,45.005455,-85.175639
1129,Village of Elk Rapids MI,Y,MI,3.954211366,38.8118373,7/11/2017,3,11/1/2026,160000,2.2,38.8118373,,AA,62,Antrim,MI,Antrim,45.005455,-85.175639
1130,Village of Elk Rapids MI,Y,MI,4.814870139,42.74970461,7/11/2017,3,11/1/2027,165000,2.35,42.74970461,,AA,55,Antrim,MI,Antrim,45.005455,-85.175639
1131,City of Elmhurst IL,N,IL,0.571423892,43.69524736,8/1/2017,2.25,3/1/2023,645000,1.83,43.69524736,,,93,DuPage,IL,DuPage,41.852058,-88.086039
1132,City of Elmhurst IL,N,IL,1.534019206,43.14576215,8/1/2017,2.25,3/1/2024,660000,1.97,43.14576215,,,82,DuPage,IL,DuPage,41.852058,-88.086039
1133,City of Elmhurst IL,N,IL,2.475169459,40.38437685,8/1/2017,2.25,3/1/2025,670000,2.09,40.38437685,,,74,DuPage,IL,DuPage,41.852058,-88.086039
1134,Encanto Real Utility District,Y,TX,0.734119241,51.48713936,5/1/2017,2.5,5/1/2023,200000,2.05,51.48713936,,,93,Harris,TX,Harris,29.857273,-95.393037
1135,Encanto Real Utility District,Y,TX,1.691064502,50.14862292,5/1/2017,2.5,5/1/2024,200000,2.2,50.14862292,,,80,Harris,TX,Harris,29.857273,-95.393037
1136,City of Ennis TX,N,TX,0.493995831,24.65395685,8/15/2017,3,2/1/2023,320000,1.45,24.65395685,,,93,Ellis,TX,Ellis,32.346878,-96.79694
1137,City of Ennis TX,N,TX,1.461560271,24.76610918,8/15/2017,3,2/1/2024,330000,1.6,24.76610918,,,83,Ellis,TX,Ellis,32.346878,-96.79694
1138,City of Ennis TX,N,TX,2.40059423,24.65629434,8/15/2017,3,2/1/2025,340000,1.75,24.65629434,,,76,Ellis,TX,Ellis,32.346878,-96.79694
1139,City of Ennis TX,N,TX,3.312717344,25.27464084,8/15/2017,3,2/1/2026,350000,1.9,25.27464084,,,68,Ellis,TX,Ellis,32.346878,-96.79694
1140,City of Ennis TX,N,TX,4.198564547,27.9881838,8/15/2017,3,2/1/2027,360000,2.05,27.9881838,,,62,Ellis,TX,Ellis,32.346878,-96.79694
1141,City of Franklin TN Water & Sewer Revenue,N,TN,0.494456886,23.55483141,2/16/2017,5,2/1/2023,470000,2.07,23.55483141,,,91,Williamson,TN,Williamson,35.894807,-86.898068
1142,City of Franklin TN Water & Sewer Revenue,N,TN,1.449599915,27.98946458,2/16/2017,5,2/1/2024,495000,2.25,27.98946458,,,83,Williamson,TN,Williamson,35.894807,-86.898068
1143,City of Franklin TN Water & Sewer Revenue,N,TN,2.361235423,29.63451089,2/16/2017,5,2/1/2025,520000,2.4,29.63451089,,,77,Williamson,TN,Williamson,35.894807,-86.898068
1144,County of Clark NV,N,NV,0.978326173,12.64741053,7/11/2017,5,8/1/2023,610000,1.49,12.64741053,,AA+,83,Clark,NV,Clark,36.21413,-115.014398
1145,County of Clark NV,N,NV,4.482763756,12.62447253,7/11/2017,5,8/1/2027,605000,2.02,12.62447253,40000,AA+,46,Clark,NV,Clark,36.21413,-115.014398
1146,Clark County Public Utility District No 1,N,WA,3.155165089,35.28630802,3/30/2017,5,1/1/2026,2645000,2.62,35.28630802,75000,AA-,74,Clark,WA,Clark,45.77173,-122.485953
1147,Fayette County Water Control & Improvement District,N,TX,0.651300279,103.1675272,6/1/2017,2.55,4/1/2023,35000,2.55,103.1675272,,,75,Fayette,TX,Fayette,29.877886,-96.921231
1148,Finney County Rural Water District No 1,N,KS,0.163141505,83.5323451,11/29/2017,3.5,10/1/2022,15000,2.9,83.5323451,,,88,Finney,KS,Finney,38.049808,-100.739967
1149,Finney County Rural Water District No 1,N,KS,2.050455948,93.26558905,11/29/2017,3.2,10/1/2024,15000,3.2,93.26558905,,,60,Finney,KS,Finney,38.049808,-100.739967
1150,Clear Brook City Municipal Utility District,Y,TX,0.494422469,54.89008219,12/1/2017,4.25,2/1/2023,350000,2.1,54.89008219,,,96,Harris,TX,Harris,29.857273,-95.393037
1151,Clear Lake City Water Authority,Y,TX,0.57199366,25.80107054,2/1/2017,2,3/1/2023,445000,2.02,25.80107054,,,85,Harris,TX,Harris,29.857273,-95.393037
1152,Clear Lake City Water Authority,Y,TX,1.537303616,27.9513572,2/1/2017,2,3/1/2024,460000,2.17,27.9513572,,,70,Harris,TX,Harris,29.857273,-95.393037
1153,Clear Lake City Water Authority,Y,TX,2.449575096,27.42056561,2/1/2017,3,3/1/2025,480000,2.29,27.42056561,510000,,66,Harris,TX,Harris,29.857273,-95.393037
1154,Clear Lake City Water Authority,Y,TX,0.570062438,26.53433973,12/1/2017,3,3/1/2023,545000,1.74,26.53433973,120000,AA-,92,Harris,TX,Harris,29.857273,-95.393037
1155,Clear Lake City Water Authority,Y,TX,1.524707121,28.95435616,12/1/2017,3,3/1/2024,560000,1.87,28.95435616,,AA-,84,Harris,TX,Harris,29.857273,-95.393037
1156,Clear Lake City Water Authority,Y,TX,2.451520683,29.48691781,12/1/2017,3,3/1/2025,580000,1.98,29.48691781,,AA-,76,Harris,TX,Harris,29.857273,-95.393037
1157,City of Fort Worth TX Water & Sewer System Revenue,N,TX,2.342406696,10.30659418,5/15/2017,5,2/15/2025,2130000,1.78,10.30659418,50000,AA,83,Tarrant,TX,Tarrant,32.772119,-97.291224
1158,City of Fort Worth TX Water & Sewer System Revenue,N,TX,3.202829482,14.54245004,5/15/2017,5,2/15/2026,2240000,1.97,14.54245004,,AA,76,Tarrant,TX,Tarrant,32.772119,-97.291224
1159,City of Fort Worth TX Water & Sewer System Revenue,N,TX,4.023348076,16.30952143,5/15/2017,5,2/15/2027,2350000,2.11,16.30952143,,AA,70,Tarrant,TX,Tarrant,32.772119,-97.291224
1160,Fountainhead Municipal Utility District,Y,TX,0.005555222,25.07684174,9/1/2017,2,8/1/2022,225000,1.45,25.07684174,,AA-,99,Harris,TX,Harris,29.857273,-95.393037
1161,Fountainhead Municipal Utility District,Y,TX,0.984075522,24.84834188,9/1/2017,2,8/1/2023,225000,1.6,24.84834188,,AA-,83,Harris,TX,Harris,29.857273,-95.393037
1162,Fountainhead Municipal Utility District,Y,TX,1.949065337,29.51404897,9/1/2017,2,8/1/2024,225000,1.8,29.51404897,,AA-,73,Harris,TX,Harris,29.857273,-95.393037
1163,Village of Fox Crossing WI Waterworks System & Sewerage System Revenue,Y,WI,0.734091507,30.1667542,4/3/2017,3,5/1/2023,415000,2.2,30.1667542,200000,AA-,98,Winnebago,WI,Winnebago,44.085707,-88.668149
1164,Village of Fox Crossing WI Waterworks System & Sewerage System Revenue,Y,WI,1.687102725,33.51658705,4/3/2017,3,5/1/2024,415000,2.4,33.51658705,,AA-,87,Winnebago,WI,Winnebago,44.085707,-88.668149
1165,Village of Fox Crossing WI Waterworks System & Sewerage System Revenue,Y,WI,2.612675192,32.58749389,4/3/2017,3,5/1/2025,435000,2.55,32.58749389,,AA-,76,Winnebago,WI,Winnebago,44.085707,-88.668149
1166,Public Water Supply District No 3 of Franklin County MO,N,MO,1.29616359,52.73690746,8/16/2017,3,12/1/2023,105000,1.93,52.73690746,,,76,Franklin,MO,Franklin,38.413003,-91.072832
1167,City of Franklin TN Water & Sewer Revenue,N,TN,3.23353157,28.80028746,2/16/2017,5,2/1/2026,545000,2.51,28.80028746,,,70,Williamson,TN,Williamson,35.894807,-86.898068
1168,City of Franklin TN Water & Sewer Revenue,N,TN,4.069302602,28.73972625,2/16/2017,5,2/1/2027,570000,2.6,28.73972625,,,66,Williamson,TN,Williamson,35.894807,-86.898068
1169,Colorado Water Resources & Power Development Authority,N,CO,0.080505225,-0.954164384,11/15/2017,3,9/1/2022,905000,1.42,-0.954164384,300000,AAA,99,Denver,CO,Denver,39.76185,-104.881105
1170,Colorado Water Resources & Power Development Authority,N,CO,1.951385111,-5.567835616,11/15/2017,5,9/1/2024,855000,1.62,-5.567835616,5000,AAA,88,Denver,CO,Denver,39.76185,-104.881105
1171,Colorado Water Resources & Power Development Authority,N,CO,2.82579954,-5.134843836,11/15/2017,5,9/1/2025,820000,1.75,-5.134843836,770000,AAA,80,Denver,CO,Denver,39.76185,-104.881105
1172,Colorado Water Resources & Power Development Authority,N,CO,3.664238997,-6.316980822,11/15/2017,5,9/1/2026,780000,1.85,-6.316980822,,AAA,74,Denver,CO,Denver,39.76185,-104.881105
1173,Colton Utility Authority,Y,CA,0.569941664,6.040916351,12/13/2017,3,3/1/2023,390000,1.86,,,,98,San Bernardino,CA,San Bernardino,34.856661,-116.181571
1174,Colton Utility Authority,Y,CA,1.524405777,3.96090484,12/13/2017,3,3/1/2024,410000,1.94,,70000,,86,San Bernardino,CA,San Bernardino,34.856661,-116.181571
1175,Colton Utility Authority,Y,CA,2.450915859,6.042095348,12/13/2017,3,3/1/2025,420000,2.06,,50000,,77,San Bernardino,CA,San Bernardino,34.856661,-116.181571
1176,Colton Utility Authority,Y,CA,4.061029653,13.69908543,12/13/2017,5,3/1/2027,455000,2.32,,,,72,San Bernardino,CA,San Bernardino,34.856661,-116.181571
1177,Village of Caledonia WI Water & Sewer System Revenue,N,WI,2.613287258,36.7534,10/18/2017,3,5/1/2025,315000,2,36.7534,,,54,Racine,WI,Racine,42.780392,-87.771599
1178,California Infrastructure & Economic Development Bank,N,CA,0.163695425,-8.413371186,3/23/2017,3,10/1/2022,470000,1.55,-8.413371186,150000,AAA,99,Sacramento,CA,Sacramento,38.450136,-121.344329
1179,California Infrastructure & Economic Development Bank,N,CA,1.127697569,-2.797638259,3/23/2017,4,10/1/2023,1835000,1.77,-2.797638259,30000,AAA,93,Sacramento,CA,Sacramento,38.450136,-121.344329
1180,California Infrastructure & Economic Development Bank,N,CA,2.075834577,1.147848427,3/23/2017,3,10/1/2024,260000,1.97,1.147848427,,AAA,80,Sacramento,CA,Sacramento,38.450136,-121.344329
1181,California Infrastructure & Economic Development Bank,N,CA,2.947148792,3.449717681,3/23/2017,4,10/1/2025,535000,2.14,3.449717681,,AAA,76,Sacramento,CA,Sacramento,38.450136,-121.344329
1182,California Infrastructure & Economic Development Bank,N,CA,3.807494272,4.338369078,3/23/2017,4,10/1/2026,620000,2.27,4.338369078,,AAA,68,Sacramento,CA,Sacramento,38.450136,-121.344329
1183,City of Conroe TX,N,TX,2.218616384,27.78546601,9/1/2017,2,11/15/2024,890000,1.75,27.78546601,,AA+,52,Montgomery,TX,Montgomery,30.298801,-95.50295
1184,City of Conroe TX,N,TX,4.668932884,34.8671487,9/1/2017,5,11/15/2027,1010000,2.21,34.8671487,10000,AA+,58,Montgomery,TX,Montgomery,30.298801,-95.50295
1185,Village of Caledonia WI Water & Sewer System Revenue,N,WI,0.734310938,34.66848219,10/18/2017,3,5/1/2023,300000,1.7,34.66848219,,,80,Racine,WI,Racine,42.780392,-87.771599
